Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
12/17/2024,26.293.230,"1.039.598.128,35",39.524.219,"1.712.027.901,59",3.956.300,"144.421.309,90",3.900.005,"140.965.474,00"
12/16/2024,28.573.764,"1.047.403.379,90",34.144.216,"1.196.064.474,50",6.743.745,"188.023.118,70",8.523.050,"240.952.258,20"
12/13/2024,26.053.559,"1.072.485.732,10",32.731.358,"1.184.026.385,85",10.034.775,"256.776.630,95",5.227.785,"158.486.809,95"
12/12/2024,26.966.438,"969.482.751,60",32.952.920,"1.245.031.056,71",1.526.300,"122.760.518,00",1.686.305,"132.463.594,00"
12/11/2024,35.428.616,"1.168.605.555,50",43.650.619,"1.391.032.239,90",6.267.300,"260.187.578,40",8.202.500,"226.798.962,60"
12/10/2024,22.332.084,"816.951.452,95",33.589.356,"1.018.540.832,46",6.901.000,"199.193.269,00",3.185.290,"115.952.250,00"
12/09/2024,28.689.190,"849.602.722,90",27.095.796,"1.147.754.475,68",4.380.300,"126.845.646,80",6.620.300,"276.685.646,80"
12/06/2024,50.680.528,"1.734.373.796,00",31.543.811,"1.357.233.305,60",20.355.058,"618.672.016,38",20.545.058,"620.113.736,38"
12/05/2024,62.662.990,"1.838.567.321,00",31.629.868,"1.129.685.103,30",1.094.100,"121.055.417,90",1.347.100,"131.692.220,90"
12/04/2024,21.630.054,"773.887.019,50",39.345.837,"1.428.279.540,55",5.488.100,"222.297.336,70",5.998.005,"229.802.661,70"
12/03/2024,29.958.384,"1.109.691.897,50",36.949.764,"1.345.564.516,75",4.698.600,"115.887.735,50",4.848.600,"117.039.735,50"
12/02/2024,25.817.193,"1.021.142.340,40",32.495.388,"1.334.122.599,20",13.737.242,"476.692.546,25",13.932.947,"472.582.795,00"
11/29/2024,28.652.034,"1.324.536.675,85",34.264.806,"1.104.889.898,95",9.382.300,"455.355.371,00",6.082.310,"352.320.517,50"
11/28/2024,23.344.293,"956.476.873,50",28.905.261,"940.834.826,45",4.971.500,"176.209.143,60",6.427.905,"161.156.956,10"
11/27/2024,26.117.176,"1.363.135.180,55",30.625.260,"1.085.540.242,45",5.641.000,"286.178.653,60",7.411.010,"222.078.800,60"
11/26/2024,43.392.740,"1.368.558.238,00",29.567.587,"992.199.145,42",2.603.700,"107.787.011,00",4.750.310,"269.240.527,40"
11/25/2024,40.958.915,"1.336.086.730,10",35.276.313,"1.176.679.863,16",11.399.100,"299.563.666,00",12.329.100,"433.347.666,00"
11/22/2024,31.441.341,"1.108.261.447,05",42.907.706,"1.346.275.535,05",13.048.100,"427.352.685,00",3.125.900,"156.108.885,00"
