Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
12/17/2024,21.534.651,"810.160.518,48",27.238.475,"813.454.672,24",41.293.100,"734.376.058,00",51.247.430,"863.300.483,26"
12/16/2024,29.985.452,"990.962.037,68",31.622.758,"1.000.717.020,57",21.326.000,"408.765.000,00",34.492.800,"683.606.024,95"
12/13/2024,21.800.069,"672.461.460,65",26.690.711,"824.004.162,26",15.098.000,"325.558.940,00",26.143.174,"458.958.099,22"
12/12/2024,32.480.248,"998.364.092,74",32.907.935,"1.013.240.457,35",3.386.245,"100.512.990,00",6.344.063,"180.027.029,90"
12/11/2024,27.245.055,"791.790.545,70",44.951.500,"1.409.511.882,00",23.933.600,"502.360.348,40",24.969.845,"545.493.504,85"
12/10/2024,23.292.263,"801.614.092,76",27.854.635,"963.368.369,71",16.579.257,"403.330.849,30",21.753.936,"404.566.334,35"
12/09/2024,34.213.726,"1.100.383.407,34",35.656.128,"1.080.867.041,21",40.975.000,"736.801.740,00",44.504.127,"747.426.490,85"
12/06/2024,37.807.438,"1.247.263.536,45",22.664.729,"809.753.642,78",5.921.000,"136.047.620,00",19.761.412,"285.760.275,25"
12/05/2024,65.959.389,"2.065.528.112,29",31.534.401,"844.225.362,98",2.170.000,"41.647.363,00",4.749.381,"77.051.885,49"
12/04/2024,23.452.475,"977.702.093,57",34.132.527,"1.159.030.913,10",5.612.959,"156.828.740,70",11.846.074,"240.317.328,10"
12/03/2024,28.287.428,"963.848.571,88",36.540.640,"1.151.853.274,64",20.743.686,"335.342.951,60",27.702.166,"417.147.927,15"
12/02/2024,18.815.179,"799.048.089,94",24.597.225,"828.750.893,66",17.391.000,"328.363.255,50",18.319.111,"436.795.090,15"
11/29/2024,31.129.057,"1.072.901.609,79",30.315.617,"1.079.207.560,24",10.885.251,"141.554.185,30",22.408.783,"335.779.889,63"
11/28/2024,42.794.683,"1.361.073.559,33",27.404.434,"871.262.159,49",22.414.800,"437.745.209,00",20.285.907,"418.998.162,95"
11/27/2024,24.592.065,"766.796.587,22",18.819.463,"692.801.623,72",5.977.375,"168.172.931,25",10.232.032,"261.052.127,12"
11/26/2024,31.464.916,"968.934.507,11",16.196.269,"471.950.015,64",21.157.600,"523.134.849,90",22.820.883,"371.833.792,78"
11/25/2024,32.509.061,"952.272.731,27",32.497.098,"956.232.274,74",13.076.600,"372.501.790,00",11.567.093,"324.317.916,67"
11/22/2024,37.298.029,"1.104.472.454,10",24.671.640,"818.282.650,33",7.761.853,"123.087.751,25",17.273.249,"383.181.443,52"
11/21/2024,75.825.440,"2.775.722.701,00",48.557.244,"1.555.725.409,86",7.376.284,"304.132.647,20",2.185.717,"60.463.199,02"
11/20/2024,55.409.930,"1.962.421.706,38",48.581.588,"1.511.586.948,79",34.609.166,"570.730.731,40",38.795.049,"677.572.863,43"
11/19/2024,43.106.415,"1.581.309.395,66",40.951.442,"1.234.192.191,15",5.990.500,"129.824.400,00",12.993.013,"187.968.656,16"
11/18/2024,47.181.420,"1.612.935.862,59",61.569.794,"1.714.104.459,34",3.630.092,"257.774.891,20",7.999.319,"145.262.438,22"
11/15/2024,45.929.164,"1.606.161.653,65",48.215.899,"1.258.127.226,15",18.958.000,"719.984.650,00",3.066.650,"81.008.996,53"
11/14/2024,40.794.300,"1.409.955.818,00",38.545.655,"1.100.356.278,64",1.269.000,"33.848.010,00",6.905.952,"130.838.073,23"
11/13/2024,52.151.074,"1.685.676.978,31",34.874.228,"966.114.381,66",7.778.736,"253.371.372,60",14.155.594,"195.948.495,28"
11/12/2024,43.802.106,"1.433.834.967,84",35.834.704,"1.083.303.558,77",1.425.522,"65.382.665,00",9.330.412,"108.027.984,40"
11/11/2024,51.077.528,"1.662.429.109,40",36.774.482,"1.160.091.362,49",19.969.362,"394.564.473,40",20.184.332,"361.790.788,40"
11/08/2024,36.914.797,"1.191.786.003,98",33.407.972,"968.520.855,29",3.149.336,"54.209.418,20",1.957.547,"34.586.980,77"
11/07/2024,34.202.922,"1.177.691.151,20",24.394.441,"761.432.808,79",1.288.200,"27.796.430,00",3.970.144,"62.396.895,08"
11/06/2024,58.109.950,"1.928.441.531,33",39.519.020,"1.039.009.698,50",7.771.000,"251.135.162,00",18.277.155,"456.604.936,50"
11/05/2024,26.396.830,"991.236.504,25",27.598.912,"811.012.706,17",35.965.770,"1.510.366.090,28",30.230.909,"711.816.815,13"
11/04/2024,54.292.340,"1.697.202.491,80",57.012.046,"1.560.900.617,99",6.490.427,"160.126.730,00",3.579.018,"105.324.541,12"
11/01/2024,54.301.312,"2.149.758.170,73",73.369.977,"2.421.593.553,49",9.111.800,"217.378.640,00",9.927.511,"156.352.217,15"
10/31/2024,41.228.014,"1.477.573.857,41",38.953.100,"1.117.516.434,93",8.608.300,"449.027.050,00",1.135.088,"60.656.992,04"
10/30/2024,32.908.092,"1.066.504.057,95",33.733.651,"966.195.258,76",3.223.400,"78.099.120,00",2.324.093,"79.153.542,78"
10/29/2024,41.021.744,"1.378.758.321,80",52.447.876,"1.423.827.693,47",127.861.000,"2.279.023.200,00",1.860.080,"56.140.328,06"
10/28/2024,27.890.735,"987.394.163,71",34.194.534,"953.153.073,62",1.906.200,"97.553.070,00",1.820.136,"44.885.663,51"
10/25/2024,53.580.801,"1.826.444.019,96",42.340.330,"1.168.523.318,08",4.200.000,"95.293.900,00",2.871.101,"188.383.067,16"
10/24/2024,50.587.261,"1.745.034.756,28",40.020.944,"1.268.349.205,87",270.000,"6.926.000,00",818.289,"23.999.567,43"
