Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
12/19/2024,565.558.394,"13.168.121.602,95",504.774.430,"11.635.288.076,32",102.351.655,"1.998.024.453,45",91.970.087,"1.758.493.148,57"
12/18/2024,319.788.867,"7.322.298.200,95",310.225.709,"7.160.388.352,21",80.975.291,"2.631.787.238,14",86.276.124,"2.820.633.836,85"
12/17/2024,279.020.191,"6.833.424.683,56",260.117.993,"6.157.750.787,87",98.786.156,"2.487.583.861,73",88.888.121,"2.362.115.272,37"
12/16/2024,301.180.237,"7.149.626.559,25",293.689.418,"6.988.036.584,61",124.993.592,"2.996.729.215,59",110.047.487,"2.668.959.051,14"
12/13/2024,319.715.215,"7.678.922.012,50",307.327.596,"7.398.814.051,85",58.377.771,"1.378.097.220,70",52.188.887,"1.344.343.632,48"
12/12/2024,401.040.481,"9.613.605.372,89",393.713.901,"9.303.672.074,07",60.943.191,"1.626.596.033,89",58.162.368,"1.546.798.417,99"
12/11/2024,409.733.150,"9.791.931.331,49",383.760.056,"8.946.316.065,57",95.531.460,"2.737.659.018,81",92.520.015,"2.726.882.478,16"
12/10/2024,415.183.948,"9.853.622.902,49",398.786.475,"9.470.862.578,56",108.308.151,"2.294.728.759,85",106.879.182,"2.379.614.293,80"
12/09/2024,481.704.480,"10.820.881.565,33",482.031.629,"10.513.658.001,42",130.990.863,"3.102.730.373,37",125.041.736,"2.937.765.622,52"
12/06/2024,475.813.645,"12.318.167.622,92",509.851.026,"13.114.218.713,90",68.986.323,"1.549.382.505,59",54.955.911,"1.398.228.130,34"
12/05/2024,650.103.540,"15.232.129.511,51",713.608.785,"17.127.583.557,92",64.997.899,"1.679.664.165,79",62.205.518,"1.636.383.840,30"
12/04/2024,419.137.876,"10.158.811.804,84",391.221.893,"9.327.584.414,06",58.485.071,"1.595.418.841,52",51.942.051,"1.509.544.929,12"
12/03/2024,380.121.007,"9.347.715.138,80",365.499.213,"8.937.557.632,43",170.450.939,"3.719.615.856,43",163.232.459,"3.633.622.880,88"
12/02/2024,307.286.062,"7.639.644.102,98",294.556.249,"7.299.722.505,17",77.512.370,"1.638.723.312,60",76.408.554,"1.536.259.229,20"
11/29/2024,334.772.813,"9.081.517.536,67",330.736.665,"9.302.099.049,40",54.593.422,"1.360.217.880,62",46.369.880,"1.269.027.029,79"
11/28/2024,307.441.464,"7.100.122.532,35",317.715.546,"7.620.926.405,24",35.316.019,"1.052.474.142,39",35.948.507,"1.085.173.375,94"
11/27/2024,278.526.380,"7.087.296.500,16",279.669.389,"7.436.351.278,14",51.128.200,"1.637.442.161,82",45.103.533,"1.608.662.818,95"
11/26/2024,394.528.730,"8.846.196.739,37",424.229.272,"9.733.079.332,94",47.443.463,"1.440.681.552,00",43.633.570,"1.430.529.092,72"
11/25/2024,306.337.073,"6.910.180.392,78",313.514.760,"7.095.355.823,96",64.222.327,"2.022.778.112,82",64.801.834,"1.937.177.986,15"
11/22/2024,346.527.869,"8.267.821.062,47",347.796.438,"8.312.115.509,11",59.885.317,"1.684.723.626,62",60.296.121,"1.695.873.734,35"
11/21/2024,271.095.355,"6.547.267.563,81",284.617.552,"7.242.430.162,03",41.652.520,"1.073.562.191,07",37.150.803,"980.684.242,05"
11/20/2024,489.323.330,"11.635.214.193,56",470.039.757,"11.012.372.270,65",75.822.041,"1.763.025.665,95",56.930.979,"1.512.073.363,82"
