Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND)
11/21/2024,"-9.692.284,00","-336.547.397,20"
11/20/2024,"-14.705.179,00","-144.110.170,10"
11/19/2024,"-8.605.060,00","-216.472.420,00"
11/18/2024,"-14.123.192,00","-396.047.661,20"
11/15/2024,"-20.453.100,00","-779.870.250,00"
11/14/2024,"-36.651.335,00","-487.111.423,90"
11/13/2024,"-3.020.800,00","-11.478.173,80"
11/12/2024,"-20,00","-494,00"
11/11/2024,"-2.545.000,00","-210.119.300,00"
11/08/2024,"-2.450.100,00","-113.751.000,00"
11/07/2024,"-222.000,00","1.104.510,00"
11/06/2024,"-1.028.000,00","-61.450.062,00"
11/05/2024,"-4.829.070,00","-277.306.089,88"
11/04/2024,"149.935,00","11.298.271,00"
11/01/2024,"3.399.981,00","4.120.460,35"
10/31/2024,"-15.350.000,00","-1.128.225.000,00"
10/30/2024,"5.450.000,00","110.945.900,00"
10/29/2024,"-290.500.000,00","-5.223.463.500,00"
10/28/2024,"-750.000,00","-71.368.250,00"
10/25/2024,"-500.000,00","-13.273.500,00"
10/24/2024,"0,00","0,00"
10/23/2024,"-731.703,00","-62.571.903,30"
10/22/2024,"2.380.000,00","69.796.960,00"
10/21/2024,"0,00","0,00"
10/18/2024,"5.289.850,00","52.322.451,30"
10/17/2024,"-1.910.640,00","-44.934.670,65"
10/16/2024,"6.820.000,00","61.248.150,00"
10/15/2024,"-2.800.160,00","-144.043.664,25"
10/14/2024,"-280.000,00","-11.885.000,00"
10/11/2024,"-9.170.385,00","-378.789.326,50"
10/10/2024,"5.329.591,00","104.561.363,10"
10/09/2024,"-1.352.479,00","-31.063.302,45"
10/08/2024,"-411.162,00","-54.292.179,25"
10/07/2024,"76.200,00","1.390.650,00"
10/04/2024,"-6.048.000,00","-253.898.208,00"
10/03/2024,"23.011,00","2.335.741,25"
10/02/2024,"295.218,00","90.668.640,40"
10/01/2024,"-68.000,00","-690.200,00"
09/30/2024,"-1.684.990,00","-34.088.702,30"
09/27/2024,"-848.600,00","-16.203.188,80"
09/26/2024,"31.837,00","24.123.872,90"
09/25/2024,"118.062,00","38.418.865,90"
09/24/2024,"-139.106.020,00","-2.571.219.064,40"
09/23/2024,"2.322.903,00","79.944.172,20"
09/20/2024,"825.670,00","41.830.944,10"
09/19/2024,"-1.004.494,00","-27.509.430,90"
09/18/2024,"4.985.622,00","90.683.799,50"
09/17/2024,"-1.037.530,00","-30.512.652,35"
09/16/2024,"-436.237,00","9.437.274,30"
09/13/2024,"-5.482.208,00","-233.586.453,90"
09/12/2024,"-295.524,00","-16.020.667,30"
09/11/2024,"-120.558,00","-7.998.605,10"
09/10/2024,"331.197,00","-7.445.846,20"
09/09/2024,"-119.200,00","-3.325.280,00"
09/06/2024,"-9.399.400,00","-410.881.998,00"
09/05/2024,"-160.366,00","-3.288.885,40"
09/04/2024,"-120.244,00","-7.010.067,85"
08/30/2024,"2.600.000,00","40.722.300,00"
08/29/2024,"-472.114,00","-1.882.515,75"
08/28/2024,"-778.278,00","-23.076.536,90"
08/27/2024,"-8.284.292,00","-203.183.216,10"
08/26/2024,"-1.650.341,00","-14.518.335,15"
08/23/2024,"-200.406,00","-2.017.888,00"
08/22/2024,"-1.000.866,00","-28.261.242,60"
08/21/2024,"-100.470,00","-951.655,40"
08/20/2024,"-690.351,00","-17.115.454,15"
08/19/2024,"-100.342,00","-2.253.125,50"
08/16/2024,"-5.270.372,00","-219.347.136,60"
08/15/2024,"700.832,00","18.307.750,85"
08/14/2024,"19.870.440,00","774.990.013,50"
08/13/2024,"15.495.400,00","389.494.810,00"
08/12/2024,"10.054.800,00","68.309.266,90"
08/09/2024,"-4.055.421,00","-400.941.038,40"
08/08/2024,"3.098.400,00","-260.232.673,40"
08/07/2024,"-308.000,00","-6.131.322,00"
08/06/2024,"-16.619.075,00","-660.108.257,50"
08/05/2024,"2.130.100,00","42.681.080,70"
08/02/2024,"344.020,00","6.640.414,20"
08/01/2024,"-90.000,00","-2.068.770,00"
07/31/2024,"-22.031.300,00","-964.421.595,00"
07/30/2024,"-50.000,00","-1.046.750,00"
07/29/2024,"-400.100,00","-6.942.618,25"
07/26/2024,"12.801.390,00","676.935.037,90"
07/25/2024,"4.540.600,00","6.106.160,00"
07/24/2024,"-2.308.100,00","-163.771.640,00"
07/23/2024,"259.500,00","7.600.550,00"
07/22/2024,"28.131.100,00","351.266.665,00"
07/19/2024,"27.321.949,00","238.477.912,65"
07/18/2024,"36.617.145,00","1.072.009.707,82"
07/17/2024,"3.343.124,00","193.745.789,70"
07/16/2024,"1.044.493,00","15.188.174,70"
07/15/2024,"-30.601.132,00","-1.025.596.158,05"
07/12/2024,"-11.829.676,00","-424.530.782,95"
07/11/2024,"34.943.396,00","1.049.645.213,25"
07/10/2024,"2.515.292,00","-56.847.743,65"
07/09/2024,"28.592.235,00","738.905.889,40"
07/08/2024,"-33.533.026,00","-1.022.330.605,60"
07/05/2024,"-3.953.179,00","-106.984.587,40"
07/04/2024,"-1.751,00","-93.925,50"
07/03/2024,"-1.276.307,00","-46.292.704,60"
07/02/2024,"6.065.003,00","188.523.736,75"
07/01/2024,"-1.203,00","-66.784,20"
06/28/2024,"7.117.718,00","99.798.107,70"
06/27/2024,"-21.202.911,00","-678.696.186,90"
06/26/2024,"19.045.030,00","254.147.455,50"
06/25/2024,"-210.456,00","-297.537.566,00"
06/24/2024,"14.571.275,00","261.960.822,35"
06/21/2024,"1.789.246,00","52.416.996,60"
06/20/2024,"-951.298,00","-18.580.479,15"
06/19/2024,"-9.920.898,00","-196.354.017,40"
06/18/2024,"214.000,00","13.530.476,00"
06/17/2024,"970.000,00","68.416.400,00"
06/14/2024,"-27.000,00","-715.500,00"
06/13/2024,"-3.038.700,00","-151.762.035,80"
06/12/2024,"-1.118.599,00","17.198.177,75"
06/11/2024,"-3.999.595,00","-96.665.124,50"
06/10/2024,"268.199,00","24.920.401,80"
06/07/2024,"-3.001.427,00","-71.032.627,35"
06/06/2024,"-2.381.548,00","-50.535.272,30"
06/05/2024,"7.638.878,00","156.526.785,40"
06/04/2024,"21.969.192,00","352.236.259,55"
06/03/2024,"-700.788,00","-413.407,75"
05/31/2024,"-4.737.181,00","-490.352.207,60"
05/30/2024,"3.116.429,00","83.777.954,50"
05/29/2024,"1.648.780,00","-8.333.742,50"
05/28/2024,"5.798.212,00","130.744.598,00"
05/27/2024,"-1.871.135,00","-22.694.362,95"
05/24/2024,"3.865.936,00","131.997.770,00"
05/23/2024,"2.855.986,00","88.526.245,25"
05/22/2024,"1.895.630,00","64.392.271,85"
05/21/2024,"8.973.395,00","280.569.052,55"
05/20/2024,"754.334,00","31.579.415,05"
05/17/2024,"1.968.057,00","46.281.640,40"
05/16/2024,"3.200.205,00","104.892.457,20"
05/15/2024,"2.625.132,00","58.340.221,10"
05/14/2024,"-1.818.731,00","-38.103.506,15"
05/13/2024,"-1.321,00","-66.834,35"
05/10/2024,"-205.861,00","-1.628.067,30"
05/09/2024,"-18.413.224,00","-914.089.004,88"
05/08/2024,"-9.897.300,00","-719.067.251,40"
05/07/2024,"-4.114.800,00","-91.513.600,00"
05/06/2024,"1.113.600,00","-45.268.578,00"
05/03/2024,"-6.950.000,00","-134.235.120,00"
05/02/2024,"-17.452.166,00","-533.384.168,50"
04/26/2024,"648.700,00","10.048.810,40"
04/25/2024,"19.514.200,00","159.887.253,20"
04/24/2024,"-26.248.500,00","-857.088.894,00"
04/23/2024,"3.577.800,00","80.092.294,40"
04/22/2024,"-11.431.318,00","-321.122.898,80"
04/19/2024,"-2.050.074,00","-23.876.827,80"
04/17/2024,"-6.870.000,00","-191.271.000,00"
04/16/2024,"2.318.965,00","63.192.860,65"
04/15/2024,"536.000,00","37.198.600,00"
04/12/2024,"6.265.694,00","77.800.244,30"
04/11/2024,"8.563.133,00","107.373.937,90"
04/10/2024,"15.674.200,00","414.114.730,00"
04/09/2024,"-1.620.000,00","-48.394.250,00"
04/08/2024,"-650.000,00","-29.719.700,00"
04/05/2024,"158.856,00","-11.892.398,60"
04/04/2024,"-7.747.900,00","-152.283.830,00"
04/03/2024,"278.800,00","11.876.678,00"
04/02/2024,"1.354.722,00","13.961.071,10"
04/01/2024,"149.953,00","12.133.723,95"
03/29/2024,"-2.936.800,00","-110.507.088,40"
03/28/2024,"725.814,00","7.991.956,80"
03/27/2024,"-18.527.300,00","-903.331.900,00"
03/26/2024,"-147.300,00","-6.978.093,20"
03/25/2024,"-1.427.000,00","-63.763.300,00"
03/22/2024,"51.000,00","4.078.368,00"
03/21/2024,"1.356.000,00","-38.806.645,00"
03/20/2024,"-3.200.000,00","-135.844.750,00"
03/19/2024,"-9.581.000,00","-298.249.860,00"
03/18/2024,"-28.778.000,00","-810.348.870,00"
03/15/2024,"1.748.300,00","12.475.830,00"
03/14/2024,"-20.000,00","-2.502.000,00"
03/13/2024,"-2.400.300,00","-53.897.577,30"
03/12/2024,"746.025,00","46.045.827,30"
03/11/2024,"1.146.750,00","106.176.050,00"
03/08/2024,"1.045.374,00","13.934.665,30"
03/07/2024,"7.564.233,00","92.480.220,40"
03/06/2024,"823.000,00","-14.961.450,00"
03/05/2024,"-1.017.018,00","-7.216.173,80"
03/04/2024,"1.509.949,00","68.289.375,65"
03/01/2024,"5.194.975,00","37.579.737,50"
02/29/2024,"7.049.000,00","94.588.057,00"
02/28/2024,"27.470.140,00","469.562.970,40"
02/27/2024,"759.982,00","26.235.857,50"
02/26/2024,"550.000,00","-17.564.500,00"
02/23/2024,"1.397.660,00","23.394.033,40"
02/22/2024,"6.611.759,00","71.460.078,70"
02/21/2024,"34.218.700,00","510.249.778,30"
02/20/2024,"16.543.000,00","241.670.324,00"
02/19/2024,"-303.000,00","-41.861.400,00"
02/16/2024,"381.100,00","8.993.960,00"
02/15/2024,"294.000,00","32.986.800,00"
02/07/2024,"200.000,00","4.570.000,00"
02/06/2024,"-1.328.300,00","-78.658.011,80"
02/05/2024,"587.000,00","12.708.550,00"
02/02/2024,"713.431,00","54.398.181,50"
02/01/2024,"3.241.354,00","315.241.572,60"
01/31/2024,"15.062.500,00","146.809.170,00"
01/30/2024,"829.962,00","-27.174.938,80"
01/29/2024,"314.090,00","6.638.900,00"
01/26/2024,"13.018.100,00","338.692.410,00"
01/25/2024,"2.783.000,00","59.746.000,00"
01/24/2024,"9.033.500,00","242.615.700,00"
01/23/2024,"7.735.700,00","239.586.318,30"
01/22/2024,"9.992.879,00","251.243.915,45"
01/19/2024,"-4.230.600,00","-122.669.301,00"
01/18/2024,"-1.783.300,00","-52.113.219,00"
01/17/2024,"92.320,00","-5.291.640,00"
01/16/2024,"2.409.948,00","31.248.393,20"
01/15/2024,"-751.400,00","-63.609.820,00"
01/12/2024,"-106.700,00","-78.943.350,00"
01/11/2024,"8.820.250,00","120.519.273,60"
01/10/2024,"0,00","0,00"
01/09/2024,"5.213.183,00","83.887.654,71"
01/08/2024,"1.801.412,00","33.443.428,80"
01/05/2024,"7.727.910,00","70.407.759,10"
01/04/2024,"-45.800,00","-1.870.930,00"
01/03/2024,"-10.720.000,00","-191.322.500,00"
01/02/2024,"-11.422.624,00","-221.727.847,20"
12/29/2023,"70.000,00","-2.960.700,00"
12/28/2023,"7.766.000,00","169.370.890,00"
12/27/2023,"-411.000,00","-15.185.470,00"
12/26/2023,"-1.585.000,00","-22.370.216,00"
12/25/2023,"-1.156.000,00","-46.306.468,00"
12/22/2023,"866.000,00","12.292.500,00"
12/21/2023,"-1.519.090,00","-60.658.890,00"
12/20/2023,"-3.577.421,00","-85.379.362,15"
12/19/2023,"-8.852.441,00","-133.639.497,37"
12/18/2023,"-3.184.601,00","-65.791.490,25"
12/15/2023,"-959.450,00","-69.599.450,00"
12/14/2023,"-1.145.000,00","-24.714.550,00"
12/13/2023,"-1.464.879,00","-8.004.866,50"
12/12/2023,"1.869.938,00","27.543.700,80"
12/11/2023,"-2.706.220,00","-114.163.800,00"
12/08/2023,"-80.070,00","-1.431.963,00"
12/07/2023,"97,00","2.404.664,30"
12/06/2023,"19.300,00","-2.014.030,00"
12/05/2023,"-9.842.460,00","-228.811.357,40"
12/04/2023,"-2.439.000,00","-87.992.850,00"
12/01/2023,"-2.343.839,00","-97.162.383,70"
11/30/2023,"-4.881.800,00","-72.482.245,60"
11/29/2023,"-5.037.700,00","-83.985.410,80"
11/28/2023,"936.000,00","57.203.300,00"
11/27/2023,"-100.000,00","2.681.700,00"
11/24/2023,"834.927,00","15.983.942,80"
11/23/2023,"-6.761.380,00","-117.770.022,00"
11/22/2023,"-19.970.530,00","-390.586.130,00"
11/21/2023,"-16.431.000,00","-339.625.630,00"
11/20/2023,"-2.024.900,00","-35.489.426,00"
11/17/2023,"-3.849.800,00","-80.168.458,00"
11/16/2023,"21.065,00","7.582.006,84"
11/15/2023,"9.600,00","10.475.250,00"
11/14/2023,"5.300.000,00","186.346.800,00"
11/13/2023,"-6.960.131,00","-208.639.699,00"
11/10/2023,"-8.123.900,00","-94.614.775,00"
11/09/2023,"-6.658.000,00","-158.746.400,00"
11/08/2023,"-545.000,00","-7.098.830,00"
11/07/2023,"-10.214.500,00","-259.063.978,70"
11/06/2023,"3.140.300,00","79.508.182,00"
11/03/2023,"2.897.495,00","75.329.153,30"
11/02/2023,"2.315.300,00","53.003.740,00"
11/01/2023,"-12.196.000,00","-495.268.500,00"
10/31/2023,"-5.450.037,00","-228.911.545,00"
10/30/2023,"-7.843.200,00","-237.990.722,20"
