Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),Tổng KL ròng (CP)
03/23/2023,"-303.992.285,70","-21.450.600,00","-260.461.596,00","12.378.965,00","298.998.771,85"
03/22/2023,"-301.626.868,75","-3.784.000,00","-28.049.800,00","6.403.730,00","166.348.528,80"
03/21/2023,"-404.426.236,60","-1.743.449,00","-83.197.335,00","1.070.539,00","124.777.337,96"
03/20/2023,"-300.440.595,90","-620.000,00","-8.467.250,00","-12.664.871,00","-309.827.527,06"
03/17/2023,"-207.216.674,80","1.054.700,00","18.460.700,00","62.626.788,00","570.567.980,30"
03/16/2023,"-143.550.463,35","637.012,00","3.487.678,00","9.355.277,00","96.144.029,40"
03/15/2023,"546.102.190,40","2.291.400,00","49.057.555,00","16.023.929,00","218.932.851,20"
03/14/2023,"149.462.970,86","4.463.500,00","72.519.100,00","18.841.004,00","431.976.933,32"
03/13/2023,"221.259.274,26","5.071.700,00","126.881.475,00","38.944.391,00","922.650.506,79"
03/10/2023,"-236.198.071,50","5.015.800,00","51.254.525,00","19.691.172,00","435.904.897,55"
03/09/2023,"-8.458.496,00","986.025,00","-3.415.825,00","12.396.322,00","196.270.456,22"
03/08/2023,"-271.103.383,01","1.728.100,00","21.354.960,00","13.641.120,00","274.117.742,60"
03/07/2023,"271.869.708,16","6.306.000,00","95.147.142,00","7.925.413,00","150.643.919,85"
03/06/2023,"-171.409.849,95","-2.112.100,00","-25.303.550,00","-9.377.817,00","-117.085.573,54"
03/03/2023,"-271.729.115,74","-2.047.500,00","-19.371.871,90","-6.285.718,00","-134.048.706,56"
03/02/2023,"-96.401.750,31","-1.765.000,00","-15.077.350,00","-4.445.724,00","-123.556.298,77"
03/01/2023,"370.455.726,00","-10.633.153,00","-242.667.214,50","-10.392.583,00","-306.648.560,90"
02/28/2023,"-281.816.950,37","-13.650.000,00","-157.014.500,00","-5.777.753,00","198.909,94"
02/27/2023,"245.981.469,26","-4.040.900,00","-26.495.343,20","-33.031.822,00","-651.921.068,16"
02/24/2023,"-383.897.672,95","-6.022.648,00","-64.620.124,80","-10.535.405,00","-242.606.954,45"
02/23/2023,"2.260.146,11","1.131.000,00","27.348.700,00","-30.016.087,00","-635.341.622,87"
02/22/2023,"3.741.548,85","-2.066.400,00","-44.579.560,00","-8.393.436,00","-327.443.492,80"
02/21/2023,"52.061.928,80","-573.700,00","-26.333.450,00","-2.704.745,00","-59.479.819,92"
02/20/2023,"263.546.651,85","-2.358.100,00","-70.548.940,00","705.062,00","-90.941.737,95"
02/17/2023,"-104.281.617,80","758.500,00","39.424.100,00","-97.726,00","-15.356.616,10"
02/16/2023,"-1.332.992,95","-10.622.600,00","-227.786.120,00","-6.763.597,00","-136.652.133,55"
02/15/2023,"132.723.530,60","3.581.500,00","72.861.780,00","-20.195.473,00","-370.331.004,47"
02/14/2023,"-247.355.844,80","1.037.400,00","15.157.800,00","2.775.788,00","15.012.640,77"
02/13/2023,"338.088.586,43","1.307.900,00","21.523.000,00","-4.383.335,00","-65.540.434,39"
02/10/2023,"-158.957.654,66","577.700,00","24.202.400,00","316.602,00","21.092.029,69"
02/09/2023,"-122.895.580,30","2.861.700,00","199.623.489,30","9.672.039,00","101.095.326,95"
02/08/2023,"370.849.058,48","-5.008.682,00","-62.483.352,60","16.755.853,00","349.822.332,65"
02/07/2023,"-101.384.149,70","10.774.832,00","479.454.639,40","-2.789.557,00","12.457.359,01"
02/06/2023,"-95.733.023,80","899.700,00","13.857.120,00","16.504.322,00","410.390.485,55"
02/03/2023,"-420.785.665,40","-177.900,00","-20.568.500,00","20.879.799,00","540.589.450,85"
02/02/2023,"423.126.598,23","-201.700,00","9.433.090,00","17.323.453,00","410.921.533,20"
02/01/2023,"-488.714.749,63","-23.122.494,00","-343.210.904,20","8.464.010,00","62.779.476,20"
01/31/2023,"-158.334.013,65","526.800,00","-5.527.313,40","7.548.786,00","-42.184.009,49"
01/30/2023,"-419.661.730,49","-371.500,00","-1.372.850,00","36.881.608,00","747.472.444,40"
01/27/2023,"383.063.477,24","1.140.000,00","33.184.000,00","28.405.997,00","522.865.001,04"
01/19/2023,"83.205.567,07","-1.619.000,00","-22.258.400,00","31.371.912,00","800.587.880,35"
01/18/2023,"287.142.128,50","-11.315.000,00","-135.294.700,00","29.023.309,00","628.582.059,40"
01/17/2023,"387.615.416,19","-11.074.211,00","139.599.943,20","33.803.071,00","767.570.004,77"
01/16/2023,"333.209.262,90","-3.086.000,00","-41.928.600,00","3.739.962,00","87.116.973,96"
01/13/2023,"256.575.395,45","7.785.400,00","123.355.700,00","13.994.094,00","367.048.502,75"
01/12/2023,"39.830.992,45","-22.478.614,00","-549.672.384,00","12.129.521,00","313.834.274,25"
01/11/2023,"261.209.941,89","-7.134.076,00","-67.355.779,24","14.128.288,00","238.872.474,36"
01/10/2023,"187.760.239,70","-2.368.435,00","-37.106.217,50","20.480.157,00","391.198.600,09"
01/09/2023,"69.411.769,00","-12.769.050,00","-175.186.110,00","21.340.890,00","494.045.268,87"
01/06/2023,"114.059.244,48","-8.433.874,00","-147.571.687,40","9.520.699,00","275.201.121,45"
01/05/2023,"410.049.969,71","-3.598.700,00","-133.834.770,00","26.330.714,00","664.193.688,41"
01/04/2023,"14.093.651,40","-10.329.400,00","-225.907.430,00","7.496.979,00","244.896.706,15"
01/03/2023,"186.536.894,85","-2.656.600,00","-98.305.700,00","15.777.683,00","245.354.597,47"
12/30/2022,"-143.735.052,45","-17.780.000,00","-425.585.460,00","13.435.968,00","449.828.675,50"
12/29/2022,"-209.075.398,13","10.955.069,00","218.763.786,40","9.314.601,00","330.646.307,63"
12/28/2022,"-304.678.036,24","28.001.600,00","866.776.460,00","10.259.186,00","423.811.344,00"
12/27/2022,"93.952.311,43","4.217.767,00","43.935.289,00","41.184.274,00","762.546.750,90"
12/26/2022,"121.667.560,25","-7.370.917,00","-145.885.299,20","11.117.663,00","337.749.040,08"
12/23/2022,"212.873.840,76","1.513.960,00","178.731.952,00","11.308.857,00","310.070.378,70"
12/22/2022,"-75.469.431,25","52.167.947,00","1.495.865.350,50","14.507.175,00","347.307.622,10"
12/21/2022,"26.929.364,51","-4.373.800,00","-44.022.250,00","20.146.306,00","445.390.300,96"
12/20/2022,"-22.669.323,18","-17.702.211,00","-602.130.848,50","47.940.102,00","1.082.002.929,33"
12/19/2022,"105.522.665,97","291.850,00","-5.089.705,00","10.261.659,00","124.418.161,90"
12/16/2022,"101.331.105,50","-26.022.394,00","-396.456.383,40","18.912.617,00","263.429.161,82"
12/15/2022,"452.030.783,95","-26.060.276,00","-369.839.121,00","18.046.745,00","319.328.630,30"
12/14/2022,"23.977.149,41","-8.453.595,00","-85.571.585,00","739.049,00","30.775.002,15"
12/13/2022,"597.803.391,65","-331.000,00","-515.145,00","45.839.614,00","874.439.859,45"
12/12/2022,"122.158.046,65","-1.067.762,00","-134.145.802,30","6.843.965,00","106.555.069,66"
12/09/2022,"371.179.013,00","18.684.246,00","327.754.360,90","19.002.419,00","449.548.296,95"
12/08/2022,"-38.279.462,38","-1.582.900,00","-50.767.750,00","23.431.308,00","621.071.178,40"
12/07/2022,"-176.330.609,46","-3.337.858,00","-2.092.151,00","38.921.697,00","1.033.882.728,40"
12/06/2022,"-421.246.498,45","-26.054.100,00","-248.635.080,00","30.051.556,00","841.816.780,02"
12/05/2022,"64.964.687,22","-41.238.984,00","-916.332.130,00","40.074.295,00","1.335.992.582,38"
12/02/2022,"638.818.615,21","1.955.900,00","31.888.895,50","75.682.213,00","2.169.198.363,87"
12/01/2022,"-580.662.205,10","-3.057.500,00","-47.538.000,00","32.666.651,00","976.963.040,77"
11/30/2022,"-185.402.525,59","-39.138.000,00","-893.386.350,00","37.597.013,00","1.633.652.497,13"
11/29/2022,"-289.858.691,87","138.200,00","33.754.360,00","106.054.958,00","2.551.550.106,95"
11/28/2022,"267.668.204,80","1.193.000,00","16.026.100,00","65.294.182,00","1.668.337.140,96"
11/25/2022,"454.266.939,75","-5.115.000,00","-141.450.650,00","36.773.373,00","959.566.341,63"
11/24/2022,"115.495.657,90","6.995.659,00","181.324.861,00","12.244.719,00","305.986.535,82"
11/23/2022,"136.185.661,64","535.000,00","19.876.500,00","-2.056.409,00","43.711.987,21"
11/22/2022,"-394.451.003,56","-2.805.600,00","3.160.510,00","2.427.380,00","165.840.001,15"
11/21/2022,"-260.350.122,49","-1.310.400,00","-28.698.450,00","-868.697,00","-24.141.182,24"
11/18/2022,"28.995.012,72","25.632.992,00","424.055.980,00","-6.877.132,00","-91.292.867,48"
11/17/2022,"659.908.775,14","-8.161.345,00","-170.739.884,25","62.193.229,00","1.421.377.256,10"
11/16/2022,"620.375.921,10","-10.855.800,00","-129.553.275,00","36.400.713,00","592.893.823,60"
11/15/2022,"178.872.788,92","-4.584.000,00","-55.463.248,40","63.550.712,00","1.126.390.581,22"
11/14/2022,"801.179.261,55","-3.235.800,00","-55.202.512,80","100.465.971,00","1.619.708.172,90"
11/11/2022,"681.643.091,40","-9.458.100,00","-166.010.090,00","107.509.386,00","2.001.200.436,78"
11/10/2022,"426.975.046,20","2.838.000,00","35.653.140,00","-9.348.383,00","43.764.918,98"
11/09/2022,"-320.769.060,10","-19.739.968,00","-249.199.108,20","1.543.158,00","334.709.095,46"
11/08/2022,"367.683.398,70","4.952.500,00","98.531.895,50","25.507.877,00","514.376.377,06"
11/07/2022,"511.104.538,20","2.576.304,00","47.372.750,50","17.853.100,00","516.032.238,03"
11/04/2022,"104.752.022,00","1.930.000,00","39.488.500,00","-8.335.331,00","-14.945.438,36"
11/03/2022,"94.090.337,90","-3.900,00","-313.185,00","3.881.610,00","247.455.691,25"
11/02/2022,"-280.418.414,30","3.436.700,00","71.764.980,00","-15.598.374,00","-257.621.364,27"
11/01/2022,"148.475.148,58","-2.959.800,00","95.461.100,00","-47.210.993,00","-724.001.245,69"
10/31/2022,"96.311.321,03","-16.099.000,00","-160.075.290,00","-18.417.130,00","-135.835.090,00"
10/28/2022,"-176.600.438,43","-93.000,00","-2.976.000,00","-14.237.872,00","-82.882.664,32"
10/27/2022,"246.858.344,53","-253.800,00","-21.728.160,00","-11.807.898,00","-179.427.172,80"
10/26/2022,"52.243.090,88","4.596.500,00","62.355.625,00","-5.417.722,00","-94.401.207,55"
10/25/2022,"211.485.897,24","3.469.300,00","67.170.070,00","-6.883.475,00","-87.557.890,74"
10/24/2022,"-225.673.336,45","-65.000,00","-756.250,00","2.626.738,00","52.288.745,78"
10/21/2022,"-275.735.264,54","483.800,00","-4.216.480,00","-30.425.950,00","-438.183.812,89"
10/20/2022,"388.547.069,76","1.579.665,00","21.393.849,06","1.985.391,00","147.224.415,09"
10/19/2022,"121.255.684,41","289.000,00","14.044.900,00","-9.040.065,00","-58.300.852,95"
10/18/2022,"-122.080.916,95","-515.815,00","-10.205.486,00","-7.579.538,00","-25.527.242,10"
10/17/2022,"-335.368.158,15","-858.310,00","-35.532.576,00","6.455.673,00","244.924.352,97"
10/14/2022,"-61.460.489,86","-64.568.131,00","-2.522.685.492,40","8.138.935,00","208.254.013,35"
10/13/2022,"-199.399.780,42","1.300.850,00","32.879.232,00","15.599.333,00","456.960.923,88"
10/12/2022,"120.101.252,05","-2.539.192,00","-102.266.257,80","49.766.036,00","1.227.064.374,17"
10/11/2022,"-622.869.540,06","1.565.000,00","-29.199.500,00","-4.383.949,00","129.311.483,27"
10/10/2022,"36.303.967,60","-56.461.657,00","-2.234.512.464,30","17.816.940,00","407.654.873,00"
10/07/2022,"-540.534.567,55","-4.333.800,00","-177.535.456,50","1.356.317,00","240.269.063,89"
10/06/2022,"-335.742.021,80","-3.182.700,00","-74.649.096,00","-11.202.072,00","-151.750.178,13"
10/05/2022,"-283.923.403,24","-3.138.700,00","-88.160.735,00","4.920.092,00","179.559.530,54"
10/04/2022,"221.032.158,55","-1.374.100,00","16.305.620,00","-20.197.824,00","-450.481.605,83"
10/03/2022,"-713.250.910,52","-1.499.100,00","-48.639.315,00","-22.365.788,00","-547.438.091,70"
09/30/2022,"1.099.773.943,80","-8.057.180,00","-63.051.968,00","10.951.738,00","282.880.852,03"
09/29/2022,"228.018.222,65","-11.337.100,00","-187.546.237,80","-7.613.039,00","-163.192.518,87"
09/28/2022,"77.418.598,45","-700.000,00","-44.317.400,00","263.496,00","-32.760.567,30"
09/27/2022,"59.128.149,25","-504.800,00","-37.812.300,00","-9.120.427,00","-381.202.333,60"
09/26/2022,"565.921.729,83","-8.181.500,00","-155.335.621,00","-18.873.610,00","-573.177.049,17"
09/23/2022,"-398.034.299,49","-1.455.000,00","-13.376.000,00","-8.752.619,00","-245.642.096,75"
09/22/2022,"-173.178.860,25","917.300,00","103.761.450,00","-10.605.078,00","-400.111.690,66"
09/21/2022,"-332.905.963,53","-3.535.247,00","-279.688.580,00","-6.340.461,00","-130.711.725,70"
09/20/2022,"72.546.982,45","665.400,00","26.964.850,00","10.484.555,00","408.655.782,05"
09/19/2022,"225.697.648,45","-841.000,00","-4.447.450,00","2.103.203,00","157.914.677,65"
09/16/2022,"-125.734.237,27","2.944.430,00","-1.421.436,90","-23.675.353,00","-347.004.912,78"
09/15/2022,"-62.284.067,17","-8.198.000,00","-496.954.100,00","-11.209.347,00","-330.983.911,57"
09/14/2022,"-278.144.536,92","-131.000,00","-3.879.050,00","6.485.935,00","9.351.346,60"
09/13/2022,"141.513.622,66","-1.366.000,00","-21.089.900,00","-10.088.439,00","-276.078.023,00"
09/12/2022,"-335.973.577,12","1.021.000,00","-16.167.955,00","5.940.129,00","157.414.873,87"
09/09/2022,"272.585.496,00","-2.341.000,00","-54.665.350,00","4.100.800,00","167.511.624,00"
09/08/2022,"428.147.724,00","-1.278.000,00","-89.170.800,00","634.700,00","84.779.925,00"
09/07/2022,"-334.018.591,00","1.553.000,00","56.074.300,00","-18.047.500,00","-464.908.643,00"
09/06/2022,"-10.527.732,00","1.614.200,00","82.461.495,00","-7.541.400,00","-243.428.516,00"
09/05/2022,"-168.474.225,00","-1.236.700,00","-123.118.398,00","-5.473.200,00","-163.225.570,00"
08/31/2022,"-80.014.584,00","-9.195.000,00","-202.925.050,00","204.400,00","-81.681.809,00"
08/30/2022,"76.058.528,00","-582.816,00","-4.014.059,20","-1.784.700,00","-574.268,00"
08/29/2022,"143.597.602,00","-5.084.800,00","-76.852.250,00","-11.207.200,00","-342.440.193,00"
08/26/2022,"-438.728.096,00","-18.430.630,00","-416.157.560,00","-6.189.900,00","-89.667.058,00"
08/25/2022,"-201.291.012,00","-15.396.500,00","-233.623.575,00","3.347.600,00","44.834.890,00"
08/24/2022,"-368.078.316,00","-21.038.623,00","-648.713.787,40","-6.009.200,00","-194.007.952,00"
08/23/2022,"-372.722.802,00","7.988.710,00","230.668.377,10","-1.318.000,00","-60.416.768,00"
08/22/2022,"5.831.124,00","-11.056.280,00","-495.498.407,00","-10.773.200,00","-207.563.110,00"
08/19/2022,"134.708.503,00","4.354.700,00","78.419.655,00","-7.131.600,00","-116.386.567,00"
08/18/2022,"981.269.802,00","-1.073.871,00","-31.936.842,64","6.737.300,00","155.211.613,00"
08/17/2022,"565.060.916,00","-1.400.000,00","-10.238.000,00","995.400,00","-15.697.960,00"
08/16/2022,"311.064.154,00","334.056,00","-5.047.069,20","19.113.500,00","427.891.272,00"
08/15/2022,"70.145.532,00","155.873,00","-77.058.310,50","3.177.900,00","-25.172.530,00"
08/12/2022,"70.767.756,00","-852.900,00","-28.558.240,00","8.438.400,00","141.002.462,00"
08/11/2022,"642.177.193,00","-1.267.960,00","-33.646.784,00","3.722.200,00","88.715.014,00"
08/10/2022,"40.494.814,00","-2.955.000,00","-61.797.820,00","566.000,00","24.258.611,00"
08/09/2022,"-192.526.460,00","8.635.007,00","152.273.127,50","976.700,00","-24.263.403,00"
08/08/2022,"-83.226.109,00","-373.209,00","-45.663.803,00","-5.206.100,00","-215.002.159,00"
08/05/2022,"-301.165.249,00","-8.136.224,00","-167.344.961,80","-10.615.200,00","-301.816.641,00"
08/04/2022,"325.809.694,00","5.513.048,00","166.213.387,15","4.090.600,00","255.833.025,00"
08/03/2022,"-236.565.051,00","578.034,00","39.560.968,40","23.382.400,00","653.004.620,00"
08/02/2022,"-48.775.515,00","6.096.500,00","137.919.130,00","20.511.200,00","562.865.438,00"
08/01/2022,"283.769.631,00","393.000,00","20.664.090,00","22.873.100,00","642.615.940,00"
07/29/2022,"82.951.469,00","-2.217.700,00","-396.406.700,00","13.562.200,00","397.196.378,00"
07/28/2022,"109.813.426,00","-5.354.100,00","-255.691.090,00","9.385.800,00","316.444.054,00"
07/27/2022,"163.184.278,00","-4.305.620,00","-244.416.867,16","-2.337.500,00","-413.949,00"
07/26/2022,"116.806.383,00","-14.467.600,00","-346.558.330,00","-123.900,00","45.014.831,00"
07/25/2022,"244.650.652,00","-1.499.200,00","-45.479.000,00","41.700,00","151.776.423,00"
07/22/2022,"-125.332.455,00","4.843.045,00","327.815.791,05","6.336.700,00","335.494.178,00"
07/21/2022,"302.341.677,00","869.520,00","-6.839.670,00","10.436.400,00","369.860.005,00"
07/20/2022,"-159.273.846,00","-3.648.339,00","-141.212.110,62","4.224.600,00","184.595.329,00"
07/19/2022,"109.981.728,00","-7.797.530,00","-95.124.833,50","-11.980.900,00","-279.783.733,00"
07/18/2022,"24.892.742,00","-1.466.280,00","-11.837.382,00","-2.026.700,00","-102.757.725,00"
07/15/2022,"-379.878.600,00","8.355.290,00","264.591.645,00","-5.499.700,00","-186.787.849,00"
07/14/2022,"-60.035.708,00","-10.983.780,00","-113.782.272,00","4.255.700,00","141.597.003,00"
07/13/2022,"-522.017.552,00","6.711.830,00","208.317.350,00","-9.622.300,00","-358.792.297,00"
07/12/2022,"56.888.847,00","-16.220.045,00","-278.562.695,00","-8.224.200,00","-285.655.219,00"
07/11/2022,"-111.832.941,00","-9.645.998,00","-171.913.796,90","-1.637.900,00","6.729.792,00"
07/08/2022,"-222.830.109,00","-6.326.300,00","-97.663.740,00","-17.378.400,00","-429.301.789,00"
07/07/2022,"258.495.136,00","1.525.000,00","68.929.600,00","12.496.700,00","482.584.916,00"
07/06/2022,"407.652.805,00","2.601.516,00","100.578.527,60","-21.361.900,00","-767.141.879,00"
07/05/2022,"355.500.199,00","-15.822.601,00","-357.519.676,30","-6.312.000,00","-290.850.366,00"
07/04/2022,"67.404.065,00","-6.158.000,00","-143.088.050,00","-2.980.900,00","-128.399.709,00"
07/01/2022,"234.077.068,00","-10.579.400,00","-213.330.290,00","2.791.100,00","-65.709.308,00"
06/30/2022,"71.414.055,00","-6.553.834,00","-133.650.903,60","589.700,00","31.183,00"
06/29/2022,"116.149.616,00","-4.368.160,00","-97.951.196,00","-535.200,00","-44.211.953,00"
06/28/2022,"-75.378.430,00","-12.127.600,00","-708.882.047,00","4.701.400,00","91.161.629,00"
06/27/2022,"-153.973.296,00","-1.380.800,00","63.730.020,00","11.430.700,00","232.046.005,00"
06/24/2022,"-116.878.156,00","-8.021.000,00","-145.043.850,00","-3.466.600,00","-95.919.916,00"
06/23/2022,"-287.014.873,00","-15.416.016,00","-361.584.109,50","11.752.200,00","356.992.859,00"
06/22/2022,"191.676.222,00","5.910.000,00","110.809.700,00","5.635.600,00","16.211.912,00"
06/21/2022,"539.960.224,00","5.660.000,00","50.564.235,00","11.525.300,00","453.942.088,00"
06/20/2022,"251.525.740,00","-6.552.250,00","-61.827.631,50","-25.092.200,00","-604.319.328,00"
06/17/2022,"-10.824.191,00","2.227.060,00","111.811.330,00","22.307.500,00","340.252.329,00"
06/16/2022,"113.443.817,00","-6.973.305,00","-155.626.976,75","18.080.600,00","660.495.114,00"
06/15/2022,"1.001.341.953,00","-2.580.400,00","-61.585.550,00","-8.844.000,00","-236.332.179,00"
06/14/2022,"994.951.671,00","2.329.540,00","57.927.490,00","25.118.000,00","790.595.573,00"
06/13/2022,"428.999.399,00","-12.471.900,00","-264.551.550,00","-24.528.300,00","-209.141.006,00"
06/10/2022,"55.873.433,00","2.372.100,00","160.709.910,00","1.200.200,00","96.327.340,00"
06/09/2022,"-218.368.441,00","-4.018.915,00","-45.003.750,00","6.402.500,00","139.793.502,00"
06/08/2022,"-88.261.145,00","77.000,00","11.941.140,00","6.870.300,00","250.920.079,00"
06/07/2022,"-408.345.223,00","-5.674.885,00","-86.450.026,00","3.816.900,00","168.625.719,00"
06/06/2022,"-7.611.824,00","-12.838.758,00","-290.661.204,00","-5.127.100,00","4.218.542,00"
06/03/2022,"-107.398.041,00","-6.222.000,00","-83.304.000,00","-5.000.100,00","-189.597.411,00"
06/02/2022,"-423.124.690,00","-11.356.317,00","-242.150.898,26","-17.419.900,00","-581.839.107,00"
06/01/2022,"303.695.301,00","-8.440.000,00","-158.283.400,00","8.970.900,00","567.817.317,00"
05/31/2022,"-234.534.093,00","-14.326.752,00","-301.845.796,70","2.380.700,00","136.996.059,00"
05/30/2022,"-96.406.269,00","-39.867.300,00","-1.473.103.560,00","10.298.000,00","276.763.582,00"
05/27/2022,"995.978.880,00","-9.269.500,00","-265.914.400,00","-89.700,00","20.700.989,00"
05/26/2022,"-367.919.949,00","-4.306.400,00","-108.935.605,00","-7.686.200,00","-282.691.315,00"
05/25/2022,"-59.285.292,00","-2.130.959,00","-55.947.879,35","3.256.800,00","23.156.269,00"
05/24/2022,"4.215.542,00","-2.887.958,00","-45.092.366,50","2.453.400,00","394.926.620,00"
05/23/2022,"-103.957.466,00","-807.054,00","-57.820.327,80","-11.730.300,00","-459.015.580,00"
05/20/2022,"-248.651.836,00","4.679.900,00","61.184.170,00","-9.969.300,00","-408.483.236,00"
05/19/2022,"-304.664.355,00","-372.505,00","-37.856.675,00","-4.358.200,00","-89.170.866,00"
05/18/2022,"-896.997.186,00","-449.980,00","-11.976.959,00","1.231.900,00","196.360.923,00"
05/17/2022,"-105.798.109,00","-912.100,00","-32.435.820,00","612.700,00","-69.588.803,00"
05/16/2022,"-75.181.266,00","3.157.500,00","68.190.000,00","8.703.700,00","195.961.377,00"
05/13/2022,"1.294.227.701,00","-19.066.936,00","-547.712.713,80","-1.450.700,00","-29.744.063,00"
05/12/2022,"-729.585.272,00","1.310.106,00","92.412.209,10","-7.078.500,00","-107.546.851,00"
05/11/2022,"-235.676.051,00","2.910.800,00","19.929.615,00","-5.874.500,00","-142.429.633,00"
05/10/2022,"690.193.502,00","5.495.112,00","102.447.570,85","23.620.700,00","750.409.543,00"
05/09/2022,"911.465.479,00","6.219.020,00","206.298.174,00","12.873.900,00","592.970.723,00"
05/06/2022,"-172.263.968,00","2.308.500,00","265.502.878,00","677.100,00","26.144.178,00"
05/05/2022,"-126.615.099,00","783.500,00","53.373.416,00","6.332.400,00","352.005.847,00"
05/04/2022,"-773.264.851,00","-1.023.000,00","-14.136.000,00","-8.184.800,00","-277.890.699,00"
04/29/2022,"91.507.133,00","-643.390,00","-60.780.265,00","396.900,00","-95.715.069,00"
04/28/2022,"-310.949.139,00","-682.300,00","-63.970.410,00","-13.819.800,00","-348.007.460,00"
04/27/2022,"-902.849.173,00","-365.800,00","-71.000.570,00","-13.905.300,00","-269.717.716,00"
04/26/2022,"172.959.600,00","1.785.100,00","21.558.400,00","36.192.200,00","1.022.392.977,00"
04/25/2022,"-253.930.048,00","3.913.472,00","198.185.300,00","-1.464.000,00","104.259.853,00"
04/22/2022,"1.788.601.942,00","-186.000,00","140.706.100,00","19.961.700,00","896.451.507,00"
04/21/2022,"-139.954.735,00","2.219.343,00","60.949.053,83","32.130.500,00","915.241.022,00"
04/20/2022,"516.917.706,00","-9.960,00","-1.340.186,00","23.524.300,00","443.186.893,00"
04/19/2022,"-160.723.834,00","-3.123.900,00","-125.629.656,00","11.684.400,00","275.000.642,00"
04/18/2022,"660.834.281,00","-1.859.600,00","-40.287.700,00","2.767.500,00","-39.735.040,00"
04/15/2022,"-359.987.825,00","-494.100,00","-35.627.480,00","285.800,00","64.515.227,00"
04/14/2022,"-295.394.879,00","1.634.900,00","2.727.825,00","-7.974.700,00","-231.439.483,00"
04/13/2022,"858.757.035,00","-3.275.100,00","-1.127.999.890,00","4.517.600,00","-5.428.523,00"
04/12/2022,"725.174.294,00","-2.525.000,00","-27.325.990,00","-10.811.200,00","-365.916.484,00"
04/08/2022,"384.693.944,00","2.309.024,00","49.253.063,55","-10.725.900,00","-309.970.099,00"
04/07/2022,"-238.881.931,00","606.100,00","8.348.800,00","-14.722.900,00","-479.765.642,00"
04/06/2022,"-490.666.696,00","-2.608.950,00","-144.027.030,00","276.700,00","100.594.325,00"
04/05/2022,"-96.884.978,00","1.067.800,00","-5.524.990,00","-6.313.900,00","-255.031.573,00"
04/04/2022,"-95.348.623,00","-2.856.400,00","-119.160.976,30","-4.825.900,00","-61.475.644,00"
04/01/2022,"103.859.201,00","5.131.446,00","153.995.539,40","6.074.500,00","418.817.652,00"
03/31/2022,"349.069.821,00","1.700,00","-10.501.400,00","1.607.600,00","320.369.281,00"
03/30/2022,"-11.432.540,00","-448.700,00","-8.621.572,10","-996.600,00","90.483.964,00"
03/29/2022,"-175.366.618,00","-1.472.147,00","-213.070.331,30","-2.301.600,00","-185.869.870,00"
03/28/2022,"115.380.924,00","4.409.200,00","151.625.940,00","-2.431.700,00","-49.917.041,00"
03/25/2022,"-176.701.828,00","8.711.000,00","325.462.500,00","3.185.100,00","-21.338.510,00"
03/24/2022,"-399.324.824,00","1.769.881,00","63.547.202,40","-4.967.300,00","-87.385.650,00"
03/23/2022,"-340.121.399,00","-2.417.075,00","-161.005.990,85","13.934.800,00","823.710.021,00"
03/22/2022,"194.082.086,00","-3.864.250,00","-269.285.065,00","3.406.000,00","427.432.817,00"
03/21/2022,"748.626.527,00","-10.699.200,00","-458.351.900,00","21.740.600,00","930.338.961,00"
03/18/2022,"639.432.108,00","-3.546.100,00","-242.180.270,00","-437.600,00","-222.577.843,00"
03/17/2022,"-373.290.058,00","-10.706.750,00","-817.816.022,00","3.322.000,00","135.271.109,00"
03/16/2022,"-524.421.248,00","7.663.074,00","229.738.470,48","-7.513.200,00","-292.318.605,00"
03/15/2022,"-275.217.085,00","-14.738.307,00","-522.317.890,31","-7.883.600,00","-422.827.205,00"
03/14/2022,"226.138.023,00","-5.567.374,00","-66.690.487,03","-10.527.900,00","-609.943.680,00"
03/11/2022,"-629.216.924,00","-1.408.480,00","-65.898.642,00","-7.300.200,00","-497.472.664,00"
03/10/2022,"-412.276.576,00","-1.121.302,00","-16.443.791,00","-13.880.400,00","-753.437.800,00"
03/09/2022,"745.349.199,00","-10.254.074,00","-139.043.516,50","-19.523.900,00","-994.520.692,00"
03/08/2022,"-392.775.454,00","125.062,00","8.357.174,90","-31.840.000,00","-1.498.235.124,00"
03/07/2022,"-509.937.643,00","4.385.000,00","219.181.000,00","-33.819.700,00","-1.320.375.713,00"
03/04/2022,"-367.774.928,00","-4.121.050,00","-232.462.032,40","-3.831.100,00","-123.354.326,00"
03/03/2022,"234.094.171,00","2.930.400,00","72.997.255,00","12.427.800,00","596.296.779,00"
03/02/2022,"1.116.349.059,00","-2.544.900,00","-39.669.810,00","-29.134.100,00","-1.195.820.168,00"
03/01/2022,"-489.615.236,00","-14.442.467,00","-348.658.670,40","-3.277.400,00","-263.525.437,00"
02/28/2022,"-16.346.506,00","-11.871.900,00","-205.641.236,70","-22.685.300,00","-921.941.423,00"
02/25/2022,"-353.766.330,00","-6.644.475,00","-156.963.654,00","618.400,00","-96.554.490,00"
02/24/2022,"626.137.532,00","-167.000,00","6.486.600,00","-14.415.200,00","-262.304.640,00"
02/23/2022,"-136.691.112,00","-9.523.700,00","-177.859.114,00","2.260.700,00","126.320.301,00"
