Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
12/02/2024,36.206.179,"1.127.411.345,44",42.916.336,"1.265.545.983,81",-6.710.157,"-138.134.638,37"
11/29/2024,42.014.308,"1.214.455.795,09",52.724.400,"1.414.987.449,87",-10.710.092,"-200.531.654,78"
11/28/2024,65.209.483,"1.798.818.768,33",47.690.341,"1.290.260.322,44",17.519.142,"508.558.445,89"
11/27/2024,30.569.440,"934.969.518,47",29.051.495,"953.853.750,84",1.517.945,"-18.884.232,37"
11/26/2024,52.622.516,"1.492.069.357,01",39.017.152,"843.783.808,42",13.605.364,"648.285.548,59"
11/25/2024,45.585.661,"1.324.774.521,27",44.064.191,"1.280.550.191,41",1.521.470,"44.224.329,86"
11/22/2024,45.059.882,"1.227.560.205,35",41.944.889,"1.201.464.093,85",3.114.993,"26.096.111,50"
11/21/2024,83.201.724,"3.079.855.348,20",50.742.961,"1.616.188.608,88",32.458.763,"1.463.666.739,32"
11/20/2024,90.019.096,"2.533.152.437,78",87.376.637,"2.189.159.812,22",2.642.459,"343.992.625,56"
11/19/2024,49.096.915,"1.711.133.795,66",53.944.455,"1.422.160.847,31",-4.847.540,"288.972.948,35"
11/18/2024,50.811.512,"1.870.710.753,79",69.569.113,"1.859.366.897,56",-18.757.601,"11.343.856,23"
11/15/2024,64.887.164,"2.326.146.303,65",51.282.549,"1.339.136.222,68",13.604.615,"987.010.080,97"
11/14/2024,42.063.300,"1.443.803.828,00",45.451.607,"1.231.194.351,87",-3.388.307,"212.609.476,13"
11/13/2024,59.929.810,"1.939.048.350,91",49.029.822,"1.162.062.876,94",10.899.988,"776.985.473,97"
11/12/2024,45.227.628,"1.499.217.632,84",45.165.116,"1.191.331.543,17",62.512,"307.886.089,67"
11/11/2024,71.046.890,"2.056.993.582,80",56.958.814,"1.521.882.150,89",14.088.076,"535.111.431,91"
11/08/2024,40.064.133,"1.245.995.422,18",35.365.519,"1.003.107.836,06",4.698.614,"242.887.586,12"
11/07/2024,35.491.122,"1.205.487.581,20",28.364.585,"823.829.703,87",7.126.537,"381.657.877,33"
11/06/2024,65.880.950,"2.179.576.693,33",57.796.175,"1.495.614.635,00",8.084.775,"683.962.058,33"
11/05/2024,62.362.600,"2.501.602.594,53",57.829.821,"1.522.829.521,30",4.532.779,"978.773.073,23"
11/04/2024,60.782.767,"1.857.329.221,80",60.591.064,"1.666.225.159,11",191.703,"191.104.062,69"
11/01/2024,63.413.112,"2.367.136.810,73",83.297.488,"2.577.945.770,64",-19.884.376,"-210.808.959,91"
10/31/2024,49.836.314,"1.926.600.907,41",40.088.188,"1.178.173.426,97",9.748.126,"748.427.480,44"
10/30/2024,36.131.492,"1.144.603.177,95",36.057.744,"1.045.348.801,54",73.748,"99.254.376,41"
10/29/2024,168.882.744,"3.657.781.521,80",54.307.956,"1.479.968.021,53",114.574.788,"2.177.813.500,27"
10/28/2024,29.796.935,"1.084.947.233,71",36.014.670,"998.038.737,13",-6.217.735,"86.908.496,58"
10/25/2024,57.780.801,"1.921.737.919,96",45.211.431,"1.356.906.385,24",12.569.370,"564.831.534,72"
10/24/2024,50.857.261,"1.751.960.756,28",40.839.233,"1.292.348.773,30",10.018.028,"459.611.982,98"
10/23/2024,53.182.472,"1.917.139.736,14",48.480.792,"1.440.259.884,15",4.701.680,"476.879.851,99"
10/22/2024,56.242.174,"1.612.355.455,85",51.518.358,"1.637.936.774,22",4.723.816,"-25.581.318,37"
10/21/2024,36.573.856,"919.092.339,71",40.346.863,"988.862.975,27",-3.773.007,"-69.770.635,56"
10/18/2024,58.109.165,"1.545.564.522,83",47.662.223,"1.236.359.327,52",10.446.942,"309.205.195,31"
10/17/2024,63.522.446,"1.649.761.385,05",56.641.793,"1.599.267.318,60",6.880.653,"50.494.066,45"
10/16/2024,46.229.510,"1.528.972.047,77",46.229.544,"1.581.456.680,78",-34,"-52.484.633,01"
10/15/2024,39.445.695,"1.116.666.161,22",54.346.845,"1.646.522.676,18",-14.901.150,"-529.856.514,96"
10/14/2024,61.943.673,"1.486.115.602,33",74.355.708,"2.011.818.537,20",-12.412.035,"-525.702.934,87"
10/11/2024,37.126.100,"1.142.609.837,67",42.590.393,"1.281.563.580,54",-5.464.293,"-138.953.742,87"
10/10/2024,71.862.445,"1.978.170.231,02",51.022.144,"1.757.908.924,16",20.840.301,"220.261.306,86"
10/09/2024,62.000.345,"1.897.482.716,61",58.120.418,"1.779.903.482,39",3.879.927,"117.579.234,22"
10/08/2024,40.299.187,"1.244.887.868,24",45.429.843,"1.143.857.419,30",-5.130.656,"101.030.448,94"
10/07/2024,41.291.490,"1.266.853.202,10",41.453.344,"1.257.003.849,48",-161.854,"9.849.352,62"
10/04/2024,49.189.385,"1.505.515.421,71",36.565.236,"1.073.827.682,29",12.624.149,"431.687.739,42"
10/03/2024,89.663.249,"2.669.343.175,73",72.609.831,"2.255.462.982,68",17.053.418,"413.880.193,05"
10/02/2024,74.783.962,"2.234.855.955,15",46.866.648,"1.469.701.215,72",27.917.314,"765.154.739,43"
10/01/2024,58.342.353,"1.788.126.945,12",63.962.615,"1.753.107.202,23",-5.620.262,"35.019.742,89"
09/30/2024,31.454.644,"965.448.041,90",35.663.654,"898.720.036,82",-4.209.010,"66.728.005,08"
09/27/2024,61.604.117,"1.635.935.245,02",62.727.775,"1.520.108.139,90",-1.123.658,"115.827.105,12"
09/26/2024,93.195.558,"2.563.662.221,80",62.891.600,"1.794.204.898,08",30.303.958,"769.457.323,72"
09/25/2024,77.252.007,"2.018.692.592,19",79.303.185,"2.370.305.777,12",-2.051.178,"-351.613.184,93"
09/24/2024,102.569.256,"2.320.393.216,71",154.430.398,"3.099.233.428,00",-51.861.142,"-778.840.211,29"
09/23/2024,53.822.822,"1.258.695.809,25",67.562.964,"1.709.231.034,91",-13.740.142,"-450.535.225,66"
09/20/2024,58.539.633,"1.675.480.615,80",67.516.750,"1.968.580.040,77",-8.977.117,"-293.099.424,97"
09/19/2024,48.745.343,"1.347.752.593,29",108.809.094,"2.135.834.139,47",-60.063.751,"-788.081.546,18"
09/18/2024,39.695.647,"1.220.935.836,24",137.504.976,"2.608.427.693,06",-97.809.329,"-1.387.491.856,82"
09/17/2024,46.164.143,"1.196.948.892,17",36.524.675,"1.030.167.997,13",9.639.468,"166.780.895,04"
09/16/2024,82.184.173,"1.554.317.486,54",89.318.059,"1.795.024.100,09",-7.133.886,"-240.706.613,55"
09/13/2024,18.545.810,"556.475.578,30",24.227.092,"715.902.091,76",-5.681.282,"-159.426.513,46"
09/12/2024,26.621.671,"894.691.335,95",28.421.949,"824.943.920,50",-1.800.278,"69.747.415,45"
09/11/2024,30.954.121,"979.818.089,66",27.960.168,"716.258.773,13",2.993.953,"263.559.316,53"
09/10/2024,49.476.712,"1.219.815.711,00",49.441.561,"1.193.364.180,94",35.151,"26.451.530,06"
09/09/2024,29.322.867,"905.094.114,34",44.184.247,"1.301.523.043,11",-14.861.380,"-396.428.928,77"
09/06/2024,40.342.841,"1.277.015.541,66",31.260.656,"903.483.547,58",9.082.185,"373.531.994,08"
09/05/2024,29.798.885,"943.732.233,50",32.050.998,"943.719.550,97",-2.252.113,"12.682,53"
09/04/2024,34.029.643,"1.057.028.592,38",44.346.289,"1.295.943.266,65",-10.316.646,"-238.914.674,27"
08/30/2024,73.025.960,"2.045.726.647,55",22.630.609,"619.127.888,49",50.395.351,"1.426.598.759,06"
08/29/2024,44.676.716,"1.239.764.123,20",42.295.133,"1.148.615.208,46",2.381.583,"91.148.914,74"
08/28/2024,31.449.296,"896.062.092,90",38.574.151,"1.156.744.315,17",-7.124.855,"-260.682.222,27"
08/27/2024,52.473.473,"1.375.441.950,18",50.215.572,"1.101.487.785,41",2.257.901,"273.954.164,77"
08/26/2024,52.096.290,"1.394.358.196,96",44.210.095,"1.083.185.908,37",7.886.195,"311.172.288,59"
08/23/2024,59.786.449,"1.800.244.577,37",39.791.251,"939.662.682,87",19.995.198,"860.581.894,50"
08/22/2024,54.499.295,"1.283.464.714,93",58.640.947,"1.165.360.005,44",-4.141.652,"118.104.709,49"
08/21/2024,97.628.668,"2.461.278.652,74",66.754.889,"1.662.377.977,54",30.873.779,"798.900.675,20"
08/20/2024,37.415.029,"1.104.016.723,83",37.083.230,"1.058.868.833,36",331.799,"45.147.890,47"
08/19/2024,42.082.514,"1.124.741.501,80",39.148.519,"1.032.275.145,11",2.933.995,"92.466.356,69"
08/16/2024,50.341.681,"1.430.506.858,45",58.327.149,"1.674.641.853,53",-7.985.468,"-244.134.995,08"
08/15/2024,32.246.019,"993.091.423,04",29.240.785,"733.331.946,39",3.005.234,"259.759.476,65"
08/14/2024,31.595.900,"990.868.797,50",28.222.007,"901.584.749,58",3.373.893,"89.284.047,92"
08/13/2024,44.262.205,"1.266.955.461,98",30.368.774,"779.699.677,09",13.893.431,"487.255.784,89"
08/12/2024,35.156.541,"1.088.587.267,05",39.023.933,"1.159.170.808,73",-3.867.392,"-70.583.541,68"
08/09/2024,37.628.750,"1.062.678.789,38",30.791.642,"845.279.294,63",6.837.108,"217.399.494,75"
08/08/2024,79.631.856,"1.952.632.838,95",60.483.498,"1.422.263.637,53",19.148.358,"530.369.201,42"
08/07/2024,96.264.905,"2.017.320.543,61",67.396.256,"1.415.770.838,42",28.868.649,"601.549.705,19"
